Pathnames	signed_enrichment	minusLog10Pval
1	protein folding	2.40635589719142	1.63458358954431
2	ribosome biogenesis	1.87896591236973	1.63458358954431
3	response to topologically incorrect protein	1.8320683976635	1.63458358954431
4	regulation of ubiquitin-dependent protein catabolic process	1.76504110008049	1.63458358954431
5	ribonucleoprotein complex biogenesis	1.75675135210904	1.63458358954431
6	rRNA processing	1.75410930582597	1.63458358954431
7	mRNA processing	1.74207752925589	1.63458358954431
8	regulation of proteolysis involved in cellular protein catabolic process	1.71819265210989	1.63458358954431
9	regulation of proteasomal protein catabolic process	1.71646752327524	1.63458358954431
10	regulation of mRNA processing	1.69909078688192	1.63458358954431
11	proteasome-mediated ubiquitin-dependent protein catabolic process	1.67911349328316	1.63458358954431
12	negative regulation of proteolysis	1.6619479405158	1.63458358954431
13	extrinsic apoptotic signaling pathway	1.64990584102517	1.63458358954431
14	intrinsic apoptotic signaling pathway	1.64652585300987	1.57794910749154
15	response to oxidative stress	1.6456718709239	1.63458358954431
16	regulation of cellular protein catabolic process	1.63006854007853	1.63458358954431
17	mRNA metabolic process	1.62698081713734	1.63458358954431
18	RNA splicing	1.62651388973051	1.63458358954431
19	RNA splicing, via transesterification reactions	1.62000756980597	1.57794910749154
20	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	1.62000756980597	1.57794910749154
21	mRNA splicing, via spliceosome	1.62000756980597	1.57794910749154
22	protein stabilization	1.61609085226493	1.63458358954431
23	apoptotic signaling pathway	1.599904223044	1.63458358954431
24	regulation of mRNA metabolic process	1.59595687026415	1.57794910749154
25	cellular response to steroid hormone stimulus	1.59494967812275	1.63458358954431
26	nuclear export	1.59280622997452	1.63458358954431
27	protein export from nucleus	1.58723757878282	1.63458358954431
28	regulation of intrinsic apoptotic signaling pathway	1.58695500677641	1.63458358954431
29	proteasomal protein catabolic process	1.58620842439111	1.63458358954431
30	regulation of protein catabolic process	1.58411370123983	1.63458358954431
31	cofactor biosynthetic process	1.56272360399408	1.57794910749154
32	rRNA metabolic process	1.55834987561359	1.57794910749154
33	response to reactive oxygen species	1.5579814134152	1.57794910749154
34	positive regulation of apoptotic signaling pathway	1.5557896300279	1.63458358954431
35	regulation of cellular catabolic process	1.53093446343568	1.63458358954431
36	modification-dependent protein catabolic process	1.52683366689346	1.63458358954431
37	RNA localization	1.52592085090605	1.42728299104925
38	ubiquitin-dependent protein catabolic process	1.52241624292189	1.63458358954431
39	regulation of proteolysis	1.52140025218564	1.63458358954431
40	modification-dependent macromolecule catabolic process	1.5203991799364	1.63458358954431
41	regulation of protein ubiquitination	1.51672725351354	1.42728299104925
42	regulation of protein modification by small protein conjugation or removal	1.51495792495434	1.47968404073129
43	regulation of neuron death	1.50354387026791	1.57794910749154
44	negative regulation of apoptotic signaling pathway	1.49943572263448	1.42550472665984
45	cellular response to oxidative stress	1.49808574792352	1.42728299104925
46	positive regulation of protein catabolic process	1.4923601721761	1.35534151958877
47	nucleic acid transport	1.4921646772214	1.57794910749154
48	RNA transport	1.4921646772214	1.57794910749154
49	positive regulation of cellular catabolic process	1.4834741275307	1.47968404073129
50	negative regulation of neuron death	1.48166252262572	1.47968404073129
51	regulation of neuron apoptotic process	1.48163274436167	1.35534151958877
52	negative regulation of catalytic activity	1.47975689204926	1.63458358954431
53	negative regulation of protein modification process	1.47555375146621	1.63458358954431
54	establishment of RNA localization	1.47499149420979	1.35534151958877
55	regulation of RNA splicing	1.47258776930401	1.42728299104925
56	negative regulation of phosphorylation	1.47040017331215	1.47968404073129
57	cofactor metabolic process	1.46957070170234	1.57794910749154
58	cellular response to hormone stimulus	1.46051477234434	1.57794910749154
59	regulation of apoptotic signaling pathway	1.45842887259718	1.47968404073129
60	regulation of protein stability	1.45444581267346	1.42522813532425
61	positive regulation of catabolic process	1.45318913415312	1.47968404073129
62	negative regulation of transferase activity	1.45236987265618	1.31122124484114
63	negative regulation of establishment of protein localization	1.44994543950002	1.22965386963739
64	negative regulation of protein phosphorylation	1.44636014017508	1.42728299104925
65	response to hormone	1.44447741280389	1.63458358954431
66	response to steroid hormone	1.44320447464765	1.27478093963169
67	positive regulation of establishment of protein localization	1.44173741775353	1.47968404073129
68	ncRNA processing	1.4377892408092	1.47968404073129
69	hormone-mediated signaling pathway	1.43704566530128	1.16423325598093
70	steroid metabolic process	1.43693111204405	1.27478093963169
71	regulation of establishment of protein localization	1.43506907784193	1.63458358954431
72	neuron death	1.4347627645965	1.47968404073129
73	nucleocytoplasmic transport	1.43322740257537	1.42728299104925
74	nuclear transport	1.43322740257537	1.42728299104925
